Rk,Player,Tm,Salary17to18,2018-19,2019-20,2020-21,2021-22,2022-23,Signed Using,Guaranteed
381,Tyus Jones,MIN,1471382,2444053,,,,,1st Round pick,3915435
405,Kevin Martin,MIN,1360305,1360305,,,,,,2720610
432,Marcus Georges-Hunt,MIN,1312611,,,,,,Minimum Salary,275000
14,Jrue Holiday,NOP,25686667,26131111,26131111,26131111,27020000,,Bird Rights,104080000
21,Anthony Davis,NOP,23775506,25434263,27093019,28751775,,,1st Round Pick,76302788
50,DeMarcus Cousins,NOP,18063850,,,,,,1st Round Pick,18063850
100,Solomon Hill,NOP,12236535,12752928,13258781,,,,Cap Space,38248244
116,Omer Asik,NOP,10595505,11286516,11977527,,,,Bird Rights,24882021
138,E'Twaun Moore,NOP,8445024,8808685,8664928,,,,Cap Space,25918637
205,Alexis Ajinca,NOP,4961798,5285394,,,,,Early Bird Rights,10247192
243,Rajon Rondo,NOP,3300000,,,,,,MLE,3300000
304,Dante Cunningham,NOP,2300000,,,,,,MLE,2300000
305,Jameer Nelson,NOP,2262871,,,,,,,2262871
311,Josh Smith,NOP,2183934,,,,,,,
317,Tony Allen,NOP,2116955,,,,,,,2116955
326,Darius Miller,NOP,2100000,2205000,,,,,MLE,2100000
359,Ian Clark,NOP,1577230,,,,,,Minimum Salary,1577230
415,Cheick Diallo,NOP,1312611,1544951,,,,,Minimum Salary,1812611
457,Frank Jackson,NOP,815615,1378242,1618520,,,,MLE,2699857
487,Jordan Crawford,NOP,250000,,,,,,,250000
38,Enes Kanter,NYK,20566802,18622514,,,,,Bird Rights,20566802
54,Joakim Noah,NYK,17765000,18530000,19295000,,,,Cap Space,55590000
64,Tim Hardaway,NYK,16500000,17325000,18150000,18975000,,,Cap space,51975000
106,Courtney Lee,NYK,11747890,12253780,12759670,,,,Cap Space,36761340
165,Lance Thomas,NYK,6655325,7119650,7583975,,,,Cap Space,13774975
212,Kristaps Porzingis,NYK,4503600,5697054,,,,,1st round pick,10200654
215,Ron Baker,NYK,4328000,4544400,,,,,Room Exception,4328000
